Positions,Metal_Oxides,Adsorbates,Energy_with adsorbate_(ev/atom),Adsorption_energy_eV,Surface energy (eV/A^2),Number_Al_atoms,Number_O_atoms
P1-horz,Al2O3,H2O,-8.242221617,-0.84571082,0.091550744,6,9
P2-horz,Al2O3,H2O,-8.247424896,-0.92376,0.091550744,6,9
P3-horz,Al2O3,H2O,-8.247196415,-0.92033278,0.091550744,6,9
P4-horz,Al2O3,H2O,-8.240778381,-0.82406228,0.091550744,6,9
P5-horz,Al2O3,H2O,-8.247283337,-0.92163661,0.091550744,6,9
P6-horz,Al2O3,H2O,-8.246463699,-0.90934204,0.091550744,6,9
P7-horz,Al2O3,H2O,-8.245188559,-0.89021494,0.091550744,6,9
P8-horz,Al2O3,H2O,-8.196268134,-0.15640857,0.091550744,6,9
P9-horz,Al2O3,H2O,-8.245930103,-0.90133811,0.091550744,6,9
P10-horz,Al2O3,H2O,-8.193206915,-0.11049028,0.091550744,6,9
P11-horz,Al2O3,H2O,-8.24779698,-0.92934126,0.091550744,6,9
P1-ver,Al2O3,H2O,-8.247307905,-0.92200513,0.091550744,6,9
P2-ver,Al2O3,H2O,-8.244317644,-0.87715122,0.091550744,6,9
P3-ver,Al2O3,H2O,-8.241227914,-0.83080527,0.091550744,6,9
P4-ver,Al2O3,H2O,-8.245813329,-0.89958649,0.091550744,6,9
P5-ver,Al2O3,H2O,-8.245056613,-0.88823576,0.091550744,6,9
P6-ver,Al2O3,H2O,-8.245719248,-0.89817528,0.091550744,6,9
P7-ver,Al2O3,H2O,-8.246569991,-0.91093643,0.091550744,6,9
P8-ver,Al2O3,H2O,-8.247046312,-0.91808124,0.091550744,6,9
P9-ver,Al2O3,H2O,-8.247217512,-0.92064924,0.091550744,6,9
P10-ver,Al2O3,H2O,-8.195473137,-0.14448362,0.091550744,6,9
P11-ver,Al2O3,H2O,-8.245868087,-0.90040787,0.091550744,6,9
P1-horz,Al2O3,O2,-7.894785397,-2.08198008,0.091550744,6,9
P2-horz,Al2O3,O2,-7.892416108,-2.04644074,0.091550744,6,9
P3-horz,Al2O3,O2,-7.894191327,-2.07306903,0.091550744,6,9
P4-horz,Al2O3,O2,-7.892379399,-2.04589011,0.091550744,6,9
P5-horz,Al2O3,O2,-7.892806896,-2.05230256,0.091550744,6,9
P6-horz,Al2O3,O2,-7.893491963,-2.06257857,0.091550744,6,9
P7-horz,Al2O3,O2,-7.89302653,-2.05559707,0.091550744,6,9
P8-horz,Al2O3,O2,-7.893668163,-2.06522157,0.091550744,6,9
P9-horz,Al2O3,O2,-7.894648939,-2.0799332,0.091550744,6,9
P10-horz,Al2O3,O2,-7.89397004,-2.06974972,0.091550744,6,9
P11-horz,Al2O3,O2,-7.894052403,-2.07098517,0.091550744,6,9
P1-ver,Al2O3,O2,-7.894041539,-2.0708222,0.091550744,6,9
P2-ver,Al2O3,O2,-7.892416108,-2.04644074,0.091550744,6,9
P3-ver,Al2O3,O2,-7.894191327,-2.07306903,0.091550744,6,9
P4-ver,Al2O3,O2,-7.892379399,-2.04589011,0.091550744,6,9
P5-ver,Al2O3,O2,-7.892806896,-2.05230256,0.091550744,6,9
P6-ver,Al2O3,O2,-7.893491963,-2.06257857,0.091550744,6,9
P7-ver,Al2O3,O2,-7.89302653,-2.05559707,0.091550744,6,9
P8-ver,Al2O3,O2,-7.893668163,-2.06522157,0.091550744,6,9
P9-ver,Al2O3,O2,-7.894648939,-2.0799332,0.091550744,6,9
P10-ver,Al2O3,O2,-7.89397004,-2.06974972,0.091550744,6,9
P11-ver,Al2O3,O2,-7.894052403,-2.07098517,0.091550744,6,9
P1-horz,Al2O3,CO2,-8.756485213,0.16677238,0.091550744,6,9
P2-horz,Al2O3,CO2,-8.779988195,-0.18577235,0.091550744,6,9
P3-horz,Al2O3,CO2,-8.780276963,-0.19010388,0.091550744,6,9
P4-horz,Al2O3,CO2,-8.757381071,0.15333451,0.091550744,6,9
P5-horz,Al2O3,CO2,-8.782552772,-0.22424101,0.091550744,6,9
P6-horz,Al2O3,CO2,-8.781429618,-0.2073937,0.091550744,6,9
P7-horz,Al2O3,CO2,-8.78369562,-0.24138373,0.091550744,6,9
P8-horz,Al2O3,CO2,-8.783134159,-0.23296181,0.091550744,6,9
P9-horz,Al2O3,CO2,-8.782826042,-0.22834006,0.091550744,6,9
P10-horz,Al2O3,CO2,-8.77800782,-0.15606673,0.091550744,6,9
P11-horz,Al2O3,CO2,-8.770372385,-0.0415352,0.091550744,6,9
P1-ver,Al2O3,CO2,-8.782194853,-0.21887223,0.091550744,6,9
P2-ver,Al2O3,CO2,-8.759322095,0.12421915,0.091550744,6,9
